Analytical,RK2,LeapFrog,Boost-RKF,BOOST-Dopri5
2.19288e-22,2.19288e-22,2.19292e-22,-1.922e-22,-1.60531e-22
2.19706e-22,2.19707e-22,2.1971e-22,-2.03627e-22,-1.44966e-22
2.20122e-22,2.20122e-22,2.20125e-22,-2.13803e-22,-1.28454e-22
2.20534e-22,2.20534e-22,2.20537e-22,-2.22667e-22,-1.11104e-22
2.20943e-22,2.20943e-22,2.20946e-22,-2.30163e-22,-9.30292e-23
2.21348e-22,2.21349e-22,2.21352e-22,-2.36246e-22,-7.63557e-23
2.21751e-22,2.21751e-22,2.21755e-22,-2.40878e-22,-5.92841e-23
2.22151e-22,2.22151e-22,2.22154e-22,-2.44031e-22,-4.19034e-23
2.22547e-22,2.22547e-22,2.22551e-22,-2.45685e-22,-2.43041e-23
2.2294e-22,2.2294e-22,2.22944e-22,-2.4583e-22,-8.82555e-24
2.2333e-22,2.23331e-22,2.23334e-22,-2.44466e-22,6.68809e-24
2.23717e-22,2.23717e-22,2.23721e-22,-2.41601e-22,2.21751e-23
2.24101e-22,2.24101e-22,2.24104e-22,-2.37252e-22,3.75739e-23
2.24481e-22,2.24482e-22,2.24485e-22,-2.31446e-22,5.28232e-23
2.24859e-22,2.24859e-22,2.24862e-22,-2.24219e-22,6.93247e-23
2.25233e-22,2.25233e-22,2.25236e-22,-2.15614e-22,8.54937e-23
2.25604e-22,2.25604e-22,2.25607e-22,-2.05686e-22,1.01815e-22
2.25971e-22,2.25972e-22,2.25975e-22,-1.94495e-22,1.17613e-22
2.26336e-22,2.26336e-22,2.26339e-22,-1.82109e-22,1.33468e-22
2.26697e-22,2.26697e-22,2.26701e-22,-1.68605e-22,1.48574e-22
2.27055e-22,2.27055e-22,2.27059e-22,-1.54066e-22,1.63435e-22
2.2741e-22,2.2741e-22,2.27414e-22,-1.3858e-22,1.77297e-22
2.27761e-22,2.27762e-22,2.27765e-22,-1.22244e-22,1.90552e-22
2.2811e-22,2.2811e-22,2.28114e-22,-1.05157e-22,2.02549e-22
2.28455e-22,2.28455e-22,2.28459e-22,-8.74236e-23,2.13568e-22
2.28797e-22,2.28797e-22,2.28801e-22,-6.91538e-23,2.23073e-22
2.29135e-22,2.29136e-22,2.29139e-22,-5.04593e-23,2.31237e-22
2.29471e-22,2.29471e-22,2.29475e-22,-3.1455e-23,2.3765e-22
2.29803e-22,2.29803e-22,2.29807e-22,-1.22574e-23,2.42261e-22
2.30132e-22,2.30132e-22,2.30135e-22,7.01533e-24,2.45124e-22
2.30457e-22,2.30458e-22,2.30461e-22,2.6245e-23,2.45943e-22
2.3078e-22,2.3078e-22,2.30783e-22,4.53136e-23,2.44711e-22
2.31099e-22,2.31099e-22,2.31102e-22,6.41038e-23,2.41226e-22
2.31414e-22,2.31415e-22,2.31418e-22,8.25004e-23,2.35526e-22
2.31727e-22,2.31727e-22,2.3173e-22,1.0039e-22,2.27356e-22
2.32036e-22,2.32036e-22,2.3204e-22,1.17664e-22,2.16953e-22
2.32342e-22,2.32342e-22,2.32345e-22,1.34215e-22,2.0391e-22
2.32644e-22,2.32644e-22,2.32648e-22,1.49942e-22,1.88713e-22
2.32943e-22,2.32944e-22,2.32947e-22,1.64748e-22,1.71521e-22
