Analytical,RK2,LeapFrog
-2.12509e-22,-3.35531e-20,3.08147e-22
-6.30749e-23,-3.81538e-19,3.05651e-23
1.2317e-22,-4.91937e-19,-2.65797e-22
2.37532e-22,-2.64081e-19,-3.98851e-22
2.13269e-22,1.72454e-19,-2.8685e-22
6.45416e-23,5.27955e-19,1.39385e-24
-1.21853e-22,5.42802e-19,2.88781e-22
-2.37134e-22,1.74324e-19,3.9874e-22
-2.14022e-22,-3.52486e-19,2.63711e-22
-6.60059e-23,-6.79178e-19,-3.33439e-23
1.20531e-22,-5.55314e-19,-3.09912e-22
2.36726e-22,-2.61658e-20,-3.96068e-22
2.14766e-22,5.71466e-19,-2.38878e-22
6.74677e-23,8.20455e-19,6.50798e-23
-1.19205e-22,5.11421e-19,3.29052e-22
-2.36309e-22,-1.89262e-19,3.90853e-22
-2.15502e-22,-8.21926e-19,2.12512e-22
-6.89269e-23,-9.31733e-19,-9.63979e-23
1.17875e-22,-3.9151e-19,-3.4608e-22
2.35884e-22,4.77189e-19,-3.83129e-22
2.1623e-22,1.08965e-18,-1.84781e-22
7.03834e-23,9.87589e-19,1.27097e-22
-1.16539e-22,1.75915e-19,3.60886e-22
-2.35449e-22,-8.37045e-19,3.72945e-22
-2.1695e-22,-1.35232e-18,1.55865e-22
-7.18373e-23,-9.5773e-19,-1.5698e-22
1.152e-22,1.5292e-19,-3.73375e-22
2.35006e-22,1.26e-18,-3.60367e-22
2.17661e-22,1.5785e-18,-1.25947e-22
7.32885e-23,8.08247e-19,1.85855e-22
-1.13856e-22,-6.07562e-19,3.83467e-22
-2.34553e-22,-1.72636e-18,3.45475e-22
-2.18364e-22,-1.72713e-18,9.52207e-23
-7.47368e-23,-5.03826e-19,-2.13537e-22
1.12507e-22,1.19203e-18,-3.91097e-22
2.34092e-22,2.20304e-18,-3.28365e-22
2.19059e-22,1.748e-18,-6.3883e-23
7.61823e-23,1.10662e-20,2.39848e-22
-1.11155e-22,-1.89763e-18,3.96216e-22
-2.33621e-22,-2.64146e-18,3.09146e-22
-2.19745e-22,-1.58327e-18,3.21353e-23
-7.76249e-23,6.96967e-19,-2.6462e-22
1.09798e-22,2.69841e-18,-3.98791e-22
2.33142e-22,2.97616e-18,-2.87943e-22
2.20423e-22,1.17068e-18,-1.81189e-25
7.90646e-23,-1.63494e-18,2.87692e-22
-1.08437e-22,-3.54652e-18,3.98805e-22
-2.32654e-22,-3.12481e-18,2.64891e-22
-2.21093e-22,-4.485e-19,-3.17741e-23
-8.05012e-23,2.79827e-18,-3.08917e-22
1.07071e-22,4.36809e-18,-3.96259e-22
2.32156e-22,2.99006e-18,-2.40138e-22
2.21754e-22,-6.37321e-19,6.35253e-23
8.19348e-23,-4.15531e-18,3.28158e-22
-1.05702e-22,-5.0601e-18,3.91169e-22
-2.31651e-22,-2.46379e-18,2.13844e-22
-2.22407e-22,2.12382e-18,-9.48687e-23
-8.33652e-23,5.63907e-18,-3.45293e-22
1.04329e-22,5.48921e-18,-3.83568e-22
2.31136e-22,1.43457e-18,-1.86176e-22
2.23051e-22,-4.01951e-18,1.25603e-22
8.47924e-23,-7.13937e-18,3.60211e-22
-1.02951e-22,-5.49342e-18,3.73503e-22
-2.30612e-22,2.01475e-19,1.57313e-22
-2.23687e-22,6.29102e-18,-1.55531e-22
